bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,long,sqft_living15,expensive
0,0,1,1,1,0,0,0,0,1,1,1,1,1
0,0,1,1,1,1,0,0,0,1,0,1,0,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,0,0,0,1,1,1,0,0,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,0,0,1,0,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,0,0
0,0,1,1,1,0,0,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1,1,0,1
0,0,1,1,1,1,0,0,1,1,0,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1,0,0,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,0,0,1,0,1,0,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0,1,1,0,1,0,0
0,1,1,1,1,1,0,0,1,1,0,1,1,1
1,1,1,1,1,1,0,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,0,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,0,0,0,0,1,0,1,1,0
0,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,0,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,0,1,0,0,1,1
1,1,1,1,1,1,0,0,1,1,1,1,0,1
1,1,1,1,1,0,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,0,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,0,1,1,1,0,0
0,0,0,1,1,0,0,0,0,0,1,0,0,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,1,0,0,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,0,1,0,1,1,1,0
0,0,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0,1,0,1,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,0,1,1,1,0,0,0,1,0,1,0,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0,1,0,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,0,1,1,1,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,0,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,0,1,0,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,0,0,0,1,0,1,0,0,0
0,1,1,1,1,1,0,0,1,0,1,1,0,0
0,1,1,1,1,1,0,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,1,1,0,1,1,0
0,1,1,1,1,1,0,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,0,1,1,1,0,0,0,1,0,0,1,0,1
0,1,1,1,1,1,0,0,1,1,1,1,0,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,1,1,1,1,0,0,1,0,1,1,0,0
1,1,1,1,1,0,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,0,0,0,1,1,1,1,0,1
0,0,1,1,1,1,0,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,0,0,0,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,0,0,0,0,1,1,1,0,1
0,1,1,1,1,1,0,0,1,0,1,0,1,0
0,0,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,0,0,0,0,1,1,1,0,1
0,1,1,1,1,1,0,0,0,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,0,1,0,1,0,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,0,1,0,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,0,0,0,1,1,1,0,0
0,0,1,1,1,0,0,0,1,0,0,0,1,0
0,1,1,1,1,0,0,0,1,1,1,0,0,0
0,0,1,1,1,0,0,0,1,0,0,1,0,1
1,1,1,1,1,1,0,0,1,0,1,1,0,0
0,0,1,1,1,1,0,0,1,1,1,0,0,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,0,0,0,0,1,1,1,0,1
0,1,1,1,1,0,0,0,1,1,1,1,0,1
0,0,1,1,1,1,0,0,0,1,0,1,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0,0,1,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,0,1,1,0,1
0,1,1,1,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,0,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,0,0,0,1,1,1,1,0,0
0,1,1,1,1,1,0,0,1,1,0,0,1,0
1,1,1,1,1,0,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,1,1,0,0,1
0,1,1,1,1,1,0,0,0,1,1,1,0,0
0,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,0,0,1,1,1,0,0,0,0,0,1,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,0,0,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,1,0,1,1,0,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,0,1,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
0,0,1,1,1,1,0,0,0,1,0,1,0,1
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,0,0,1,0
0,0,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,0,0,0,1,0,1,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,1,0,0
0,0,0,1,1,1,0,0,0,1,0,1,0,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,0,0,0,1,0,1,1,0,1
0,1,1,1,1,1,0,0,1,1,1,1,0,1
0,0,1,1,1,1,0,0,1,0,1,1,0,0
0,0,1,1,1,1,0,0,1,0,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0,1,1,1,1,0,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,0,1,0,1,1,0,0
0,0,0,1,1,0,0,0,0,1,0,1,0,1
0,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1
0,0,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,0,0,0,1,1,1,0,0,0
0,0,1,1,1,1,0,0,1,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,0,1,1,1,0
0,0,1,1,1,1,0,0,0,1,0,1,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0,1,1,0,0,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,1,1,1,0,0,0,0,1,0,1,0,1
0,0,0,1,1,1,0,0,0,0,0,1,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,1,1,1,1,0,0,1,1,0,1,1,0
1,1,1,1,1,1,0,0,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,0,1,1,1,0,0,0,1,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,1,0,1
0,0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,1,0,0,1,0,1
0,0,1,1,1,1,0,0,1,1,0,0,1,1
0,0,1,1,1,1,0,0,0,1,0,1,1,0
1,0,1,0,1,1,0,0,1,1,0,1,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
1,1,1,0,1,1,0,0,1,1,0,0,1,0
1,1,1,0,1,1,0,0,1,1,0,0,1,0
1,1,1,0,1,1,0,0,1,1,0,1,1,0
0,0,1,1,1,1,0,0,0,1,0,1,1,0
1,0,1,0,1,1,0,0,1,1,0,1,1,0
1,1,1,1,1,1,0,0,1,1,0,0,1,0
0,0,1,1,1,1,0,0,0,1,0,1,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,0,1,1,1,0,0,0,1,0,1,1,0
0,1,1,1,1,1,0,0,0,1,0,1,0,1
0,0,0,1,1,1,0,0,0,1,0,1,0,1
1,1,1,1,1,1,0,0,1,1,0,0,1,1
0,0,1,1,1,1,0,0,1,1,0,0,1,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
